,uid,companyId,agent,validBet,score,add_time,gameName,gameId,roundId,ip,currency_rate
58,3806448,40056,2797610,0.1,-0.1,2024-08-21 20:46:48,超级王牌,320,gfg_320101_1724244408357_109981,143.44.185.135,10.000000000000
59,4009439,40056,2797610,0.1,0.1,2024-08-21 20:46:49,麻将无双,305,gfg_305101_1724244408910_110004,175.176.53.246,10.000000000000
60,3311342,40093,2806272,4.0,-4.0,2024-08-21 20:46:51,777,307,gfg_307101_1724244410832_110005,49.42.87.88,10.000000000000
61,4009720,40152,3858661,0.1,0.16499999999999998,2024-08-21 20:46:51,超级王牌,320,gfg_320101_1724244410650_109959,110.54.158.181,10.000000000000
62,3806448,40056,2797610,0.1,-0.1,2024-08-21 20:46:53,超级王牌,320,gfg_320101_1724244413116_109981,143.44.185.135,10.000000000000
63,4009420,40152,3858661,0.1,-0.1,2024-08-21 20:46:53,大运夺宝,302,gfg_302101_1724244413534_109819,103.186.145.202,10.000000000000
64,4009757,40153,3858739,0.5,-0.5,2024-08-21 20:46:56,超级王牌,320,gfg_320101_1724244415821_109989,131.226.104.21,10.000000000000
65,3311342,40093,2806272,4.0,-4.0,2024-08-21 20:46:57,777,307,gfg_307101_1724244416979_110005,49.42.87.88,10.000000000000
66,1230124,5032,1797652,0.2,-0.2,2024-08-21 20:47:01,超级王牌,320,gfg_320101_1724244420824_109991,143.44.144.219,10.000000000000
67,1586198,5032,1797652,0.5,-0.5,2024-08-21 20:47:01,麻将无双,305,gfg_305101_1724244421553_109265,202.137.118.171,10.000000000000
68,3830168,5143,2247099,0.2,-0.2,2024-08-21 20:47:01,招财金猪,324,gfg_324101_1724244420617_109971,182.232.177.166,5.000000000000
69,4009420,40152,3858661,0.1,-0.096,2024-08-21 20:47:02,大运夺宝,302,gfg_302101_1724244422289_109819,103.186.145.202,10.000000000000
70,1492066,5032,1797652,2.0,-2.0,2024-08-21 20:47:03,十倍金牛,904,gfg_904101_1724244422868_109922,158.62.63.78,10.000000000000
71,1586198,5032,1797652,0.5,-0.45,2024-08-21 20:47:05,麻将无双,305,gfg_305101_1724244424631_109265,202.137.118.171,10.000000000000
72,4009696,40056,2797610,0.2,-0.2,2024-08-21 20:47:05,超级王牌,320,gfg_320101_1724244424738_109939,131.226.99.78,10.000000000000
73,3889733,40064,2797634,0.7692307692307692,-0.7692307692307692,2024-08-21 20:47:06,虎虎生财,901,gfg_901101_1724244426022_110001,170.245.125.100,0.650000000000
74,3311342,40093,2806272,4.0,-4.0,2024-08-21 20:47:06,777,307,gfg_307101_1724244426301_110005,49.42.87.88,10.000000000000
75,818673,5032,1797652,0.25,-0.25,2024-08-21 20:47:07,超级王牌,320,gfg_320101_1724244426624_109565,120.29.72.114,10.000000000000
76,818673,5032,1797652,0.25,1.3199999999999998,2024-08-21 20:47:08,超级王牌,320,gfg_320101_1724244427849_109565,120.29.72.114,10.000000000000
77,4009696,40056,2797610,0.2,-0.2,2024-08-21 20:47:08,超级王牌,320,gfg_320101_1724244427662_109939,131.226.99.78,10.000000000000
78,3684741,40056,2797610,1.0,-1.0,2024-08-21 20:47:12,亡灵大盗,902,gfg_902101_1724244432047_110007,175.176.74.67,10.000000000000
79,923701,5143,2247099,0.16,-0.16,2024-08-21 20:47:14,罗马竞技场,311,gfg_311101_1724244434483_109966,49.237.22.95,5.000000000000
80,923701,5143,2247099,0.16,-0.16,2024-08-21 20:47:16,罗马竞技场,311,gfg_311101_1724244435989_109966,49.237.22.95,5.000000000000
81,3830168,5143,2247099,0.2,-0.2,2024-08-21 20:47:16,招财金猪,324,gfg_324101_1724244436533_109971,182.232.177.166,5.000000000000
82,1586198,5032,1797652,0.2,-0.2,2024-08-21 20:47:17,麻将无双,305,gfg_305101_1724244437014_109265,202.137.118.171,10.000000000000
83,4009720,40152,3858661,0.1,-0.045,2024-08-21 20:47:17,超级王牌,320,gfg_320101_1724244437044_109959,110.54.158.181,10.000000000000
84,3443546,5069,2010892,1.0,-1.0,2024-08-21 20:47:19,炸金花,12,ld_12101_1724244430_3,27.68.137.238,1.000000000000
85,4009589,40153,3858739,0.2,-0.2,2024-08-21 20:47:19,超级王牌,320,gfg_320101_1724244438646_109849,111.90.212.63,10.000000000000
86,4009439,40056,2797610,0.1,-0.1,2024-08-21 20:47:21,麻将无双,305,gfg_305101_1724244440581_110004,175.176.53.246,10.000000000000
87,4009696,40056,2797610,0.2,-0.2,2024-08-21 20:47:21,超级王牌,320,gfg_320101_1724244440993_109939,131.226.99.78,10.000000000000
88,4009589,40153,3858739,0.2,-0.2,2024-08-21 20:47:21,超级王牌,320,gfg_320101_1724244441168_109849,111.90.212.63,10.000000000000
89,3514475,40240,4607576,13.333333333333334,0.0,2024-08-21 20:47:21,十倍金牛,804,1727440882804101706,223.204.221.23,0.150000000000
90,3606179,40153,3858739,0.2,-0.2,2024-08-21 20:47:22,宝石之星,306,gfg_306101_1724244442097_109995,175.176.85.117,10.000000000000
91,4009746,40153,3858739,0.2,-0.2,2024-08-21 20:47:23,宝石之星,306,gfg_306101_1724244442803_110000,158.62.34.193,10.000000000000
92,4009589,40153,3858739,0.2,-0.2,2024-08-21 20:47:24,超级王牌,320,gfg_320101_1724244443665_109849,111.90.212.63,10.000000000000
93,3524613,40010,2530158,0.4,-0.4,2024-08-21 20:47:27,麻将无双,305,gfg_305101_1724244446924_109945,119.247.239.50,1.000000000000
94,3830168,5143,2247099,0.2,-0.2,2024-08-21 20:47:28,招财金猪,324,gfg_324101_1724244448359_109971,182.232.177.166,5.000000000000
95,3871597,40056,2797610,0.5,-0.5,2024-08-21 20:47:28,777,307,gfg_307101_1724244448438_109999,131.226.108.95,10.000000000000
96,4009589,40153,3858739,0.2,-0.2,2024-08-21 20:47:28,超级王牌,320,gfg_320101_1724244448304_109849,111.90.212.63,10.000000000000
97,4009746,40153,3858739,0.2,-0.2,2024-08-21 20:47:29,宝石之星,306,gfg_306101_1724244449035_110000,158.62.34.193,10.000000000000
98,4009589,40153,3858739,0.2,-0.2,2024-08-21 20:47:31,超级王牌,320,gfg_320101_1724244450673_109849,111.90.212.63,10.000000000000
99,1586198,5032,1797652,0.2,0.06,2024-08-21 20:47:32,麻将无双,305,gfg_305101_1724244451727_109265,202.137.118.171,10.000000000000
100,4009589,40153,3858739,0.2,0.08,2024-08-21 20:47:33,超级王牌,320,gfg_320101_1724244453189_109849,111.90.212.63,10.000000000000
